Миграционный центр;все;Республика Адыгея, Тахтамукайский район, пгт. Энем;"Филиал по Республике Адыгея ФГУП ""ПВС"" МВД РФ ";Республика Адыгея, Тахтамукайский район, пгт. Энем, ул. Октябрьская, д. 55.;44.9293067;38.9204437;"  8(87771) 47-2-97
  8(989) 142-59-22";"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Майкоп;"Филиал по Республике Адыгея ФГУП ""ПВС"" МВД РФ ";Республика Адыгея, г. Майкоп, ул. Калинина, д. 227/1.;44.61915200000001;40.104359;"  8(87771) 47-2-97
  8(989) 142-59-22";"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г.Барнаул;"Филиал по Алтайскому краю ФГУП ""ПВС"" МВД РФ "; Алтайский край, г.Барнаул, ул.Шевченко, д.170;53.337018;83.751542;  8(3852) 29-62-60;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Благовещенск;"Филиал по Амурской области ФГУП ""ПВС"" МВД РФ ";Амурская область г. Благовещенск, ул. Студенческая д.19/2  ;50.2906517;127.5043598;  8(4162) 47-27-27;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Астрахань;"Филиал по Астраханской области ФГУП ""ПВС"" МВД РФ ";г. Астрахань ул. Куликова, д.72;46.3559572;48.0885711;  8(8512) 43-93-39;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;Республика Башкортостан, Уфимский район, с. Чесноковка;"Филиал по Республике Башкортостан ФГУП ""ПВС""  МВД РФ ";Республика Башкортостан, Уфимский район, с. Чесноковка, ул. Школьная, д. 4а;54.6136187;55.8983582; 8(347) 286-28-31;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Брянск;"Филиал по Брянской  области ФГУП ""ПВС"" МВД РФ ";г. Брянск, ул. Горбатова, д.11;53.263533;34.326002; 8(4832) 44-21-04;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Улан-Удэ;"Филиал по Республике Бурятия ФГУП ""ПВС"" МВД РФ "; г. Улан-Удэ, ул. Хоца Намсараева, д. 7а, оф. 116.;51.843428;107.598846; 8(301) 246-10-60;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все; г. Владимир;"Филиал по Владимирской области ФГУП ""ПВС"" МВД РФ "; г. Владимир, ул. Батурина, д. 37а;56.14322199999999;40.403099; 8(4922) 37-22-32;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все; г. Владимир;"ОП Филиала по Владимирской области ФГУП ""ПВС"" МВД РФ ";г. Владимир, ул. Вокзальная, д. 6;56.1358812;40.4317609; 8(4922) 37-22-32;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Волгоград;"Филиал по Волгоградской области ФГУП ""ПВС"" МВД РФ "; г. Волгоград, ул. Скосырева, д. 6;48.712581;44.49785199999999; 8(8442) 43-73-10;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Череповец;"Филиал по Вологодской области ФГУП ""ПВС"" МВД РФ ";г. Череповец, ул. Карла Либкнехта, д.37;59.12259739999999;37.9170174; 8(8202) 57-68-70;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Воронеж;"Филиал по Воронежской области ФГУП ""ПВС"" МВД РФ ";г. Воронеж, ул. Дорожная, д. 6а;51.6638583;39.1548065; 8(473) 207-10-53 доб. 206;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Воронеж;"ОП Филиала по Воронежской области ФГУП ""ПВС"" МВД РФ ";г. Воронеж, ул. 9 января, д.68з;51.66557760000001;39.1802722; 8(473) 207-10-53 доб. 206;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Биробиджан;"Филиал по Еврейской автономной области  ФГУП ""ПВС""  МВД РФ ";г. Биробиджан, проспект 60 летия СССР, д. 3 офис 309.;48.78915929999999;132.9290236; 8(42622) 4-05-77;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Иваново;"Филиал по Ивановской области ФГУП ""ПВС"" МВД РФ ";г. Иваново, ул. Мархлевского, д.40.;56.99787569999999;40.9568006;" 8(4932) 41-61-35
 8(4932) 41-77-28";"Пн-Пт с 9:00 до 17:00
Без перерыва на обед
Выходной: Сб, Вс"
Миграционный центр;все;г. Иркутск;"Филиал по Иркутской области ФГУП ""ПВС"" МВД РФ "; г. Иркутск, ул. Ямская, д. 1/2.;52.2795359;104.3050772; 8(3952) 72-87-17 доб. 309 ;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
